Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/bot-types,222,0,5,13.226093481313688,2.2488329996122047,490.7645000057528,173.0,3.7951451008704273,0.0,5,6,7,7,9,20,100,390,490,490,490
GET,/api/puco/rooms/,518,0,10,18.467540475134207,4.588625000906177,926.422000004095,5.671814671814672,8.855338568697665,0.0,10,12,13,13,17,26,63,200,930,930,930
POST,/api/puco/rooms/ (create),94,0,14,19.09429438231374,6.932999996934086,131.62691600155085,211.24468085106383,1.60695333099919,0.0,15,16,19,22,26,43,120,130,130,130,130
POST,/api/puco/rooms/[id]/leave,94,0,11,14.524991563682326,6.113374998676591,90.53808399767149,15.0,1.60695333099919,0.0,11,13,15,17,23,34,51,91,91,91,91
GET,/api/puco/session/active-game,420,0,14,25.694854261555953,5.7010000018635765,931.6081669967389,25.0,7.1800042448899974,0.0,14,16,18,19,38,71,150,200,930,930,930
,Aggregated,1348,0,11,19.624948358863715,2.2488329996122047,931.6081669967389,54.236646884273,23.04439457645647,0.0,11,13,15,16,22,41,150,200,930,930,930
