Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/bot-types,8,0,6,7.8338281255128095,4.672249997383915,18.017624999629334,173.0,0.6516900684753252,0.0,7,8,8,8,18,18,18,18,18,18,18
GET,/api/puco/rooms/,10,0,15,18.18862099898979,9.421250011655502,34.599667007569224,2.0,0.8146125855941564,0.0,17,18,22,31,35,35,35,35,35,35,35
GET,/api/puco/session/active-game,12,0,17,58.80659366812324,12.569208993227221,176.49241599428933,25.0,0.9775351027129877,0.0,18,26,130,130,150,180,180,180,180,180,180
,Aggregated,30,0,14,31.674531967049308,4.672249997383915,176.49241599428933,56.8,2.4438377567824694,0.0,15,18,22,31,130,150,180,180,180,180,180
