Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/bot-types,5,0,4,5.868458400072996,3.4375420000287704,13.701292002224363,173.0,0.3961952296488676,0.0,4,4,4,14,14,14,14,14,14,14,14
GET,/api/puco/rooms/,10,0,11,12.193095999828074,8.334792000823654,20.729458999994677,2.0,0.7923904592977352,0.0,12,13,14,14,21,21,21,21,21,21,21
POST,/api/puco/rooms/ (create),2,2,8,8.955916498962324,7.773582998197526,10.138249999727122,177.0,0.15847809185954706,0.15847809185954706,10,10,10,10,10,10,10,10,10,10,10
GET,/api/puco/session/active-game,13,0,15,34.953121923675866,11.319208002532832,171.0370420041727,25.0,1.030107597087056,0.0,15,15,16,30,120,170,170,170,170,170,170
,Aggregated,30,2,12,20.785855666811887,3.4375420000287704,171.0370420041727,52.13333333333333,2.3771713778932058,0.15847809185954706,13,14,15,15,30,120,170,170,170,170,170
